Player,Under Pressure Rating©,Country,Break Points Converted,Break Points Saved,Tie Breaks Won,Deciding Sets Won,
1,Novak Djokovic,SRB,247.80,44.20,65.40,65.00,73.20
2,Pete Sampras,USA,241.90,40.60,67.90,64.10,69.30
3,Rafael Nadal,ESP,240.50,44.90,66.40,60.90,68.30
4,Roger Federer,SUI,238.90,41.10,67.30,65.30,65.20
5,Carlos Alcaraz,ESP,237.60,42.50,63.30,61.60,70.20
6,Thomas Muster,AUT,234.30,44.60,63.00,58.90,67.80
7,Andy Roddick,USA,234.00,38.80,67.60,62.10,65.50
8,Attila Balazs,HUN,233.90,39.10,64.00,53.80,76.90
9,Andy Murray,GBR,233.90,43.00,62.10,59.30,69.50
10,Kei Nishikori,JPN,233.80,40.70,61.10,58.80,73.20
11,Guillermo Perez-Roldan,ARG,232.00,46.60,58.40,65.90,61.10
12,Juan Martin del Potro,ARG,231.90,41.80,63.80,59.40,66.90
13,Stefan Edberg,SWE,228.50,43.20,63.80,60.00,61.50
14,Michael Stich,GER,228.30,40.40,66.10,60.10,61.70
15,Andre Agassi,USA,228.20,43.40,64.80,57.50,62.50
16,Jannik Sinner,ITA,226.80,43.40,63.90,56.80,62.70
17,Jo-Wilfried Tsonga,FRA,226.60,39.70,67.00,58.00,61.90
18,Botic van de Zandschulp,NED,226.20,39.60,63.00,65.30,58.30
19,John Fitzgerald,AUS,226.10,39.20,56.30,75.00,55.60
20,German Puentes,ESP,225.90,39.80,53.60,62.50,70.00
21,Boris Becker,GER,225.80,39.90,65.70,56.90,63.30
22,Yevgeny Kafelnikov,RUS,225.60,42.60,61.10,56.60,65.30
23,Guillermo Coria,ARG,224.80,45.70,58.60,55.90,64.60
24,Renzo Olivo,ARG,224.70,37.80,57.30,73.10,56.50
25,Nick Kyrgios,AUS,224.10,39.40,67.30,59.60,57.80
26,Goran Ivanisevic,CRO,223.70,39.50,66.10,58.80,59.30
27,Daniil Medvedev,NED,223.60,42.60,63.70,58.00,59.30
28,Milos Raonic,CAN,223.40,35.90,69.60,61.00,56.90
29,Jenson Brooksby,USA,222.90,42.90,58.80,56.50,64.70
30,Alberto Mancini,ARG,222.80,41.80,59.70,62.20,59.10
31,Marcelo Rios,CHI,222.70,42.20,60.90,60.30,59.30
32,Stefanos Tsitsipas,GRE,222.10,39.90,65.00,58.10,59.10
