1,Nationality,Serve Rating,% 1st serve,% 2nd Serve,% Games One,% Break Points
2,ARG,171.50,0.36,0.54,0.35,0.46
3,ARG,168.10,0.36,0.53,0.33,0.47
4,ESP,167.90,0.34,0.55,0.34,0.45
5,ESP,166.60,0.34,0.56,0.32,0.44
6,ARG,166.30,0.35,0.53,0.33,0.46
7,SRB,165.20,0.34,0.55,0.32,0.44
8,BEL,165.00,0.34,0.54,0.33,0.44
9,ARG,163.70,0.34,0.55,0.32,0.44
10,ESP,163.40,0.34,0.54,0.32,0.44
11,AUT,163.40,0.32,0.55,0.32,0.45
12,USA,163.10,0.32,0.55,0.32,0.44
13,ESP,163.00,0.34,0.55,0.31,0.44
14,ESP,162.70,0.33,0.54,0.31,0.45
15,USA,162.40,0.32,0.56,0.32,0.43
16,ESP,162.10,0.34,0.53,0.32,0.43
17,ESP,161.80,0.32,0.55,0.31,0.44
18,ARG,161.60,0.34,0.53,0.30,0.45
19,CRO,161.30,0.34,0.53,0.31,0.44
20,CRZ,161.20,0.34,0.54,0.31,0.43
21,GBR,161.20,0.33,0.55,0.31,0.43
22,AUT,161.20,0.33,0.54,0.31,0.43
23,BEL,161.10,0.34,0.53,0.29,0.45
24,ARG,161.10,0.32,0.55,0.30,0.44
25,NaN,160.80,0.33,0.53,0.31,0.44
26,ESP,160.40,0.34,0.53,0.30,0.44
27,NaN,160.10,0.33,0.53,0.30,0.44
28,ITA,160.10,0.33,0.52,0.31,0.44
29,SWE,160.00,0.33,0.53,0.30,0.43
30,SWE,159.80,0.34,0.52,0.30,0.43
31,FIN,159.40,0.36,0.53,0.31,0.40
32,AUS,158.70,0.32,0.54,0.30,0.43
33,ESP,158.60,0.36,0.52,0.31,0.40
34,ESP,158.40,0.31,0.54,0.29,0.45
35,ESP,157.60,0.34,0.51,0.27,0.46
36,SVK,157.50,0.33,0.52,0.29,0.43
37,ARG,157.50,0.33,0.53,0.30,0.43
38,BRA,157.40,0.34,0.53,0.29,0.41
39,ARG,157.30,0.33,0.53,0.30,0.42
40,ESP,157.20,0.33,0.51,0.28,0.46
41,ESP,157.10,0.32,0.54,0.29,0.43
42,SVK,157.10,0.34,0.52,0.29,0.43
43,SWE,157.00,0.32,0.52,0.29,0.44
44,FRA,157.00,0.34,0.52,0.30,0.41
45,USA,156.50,0.32,0.53,0.29,0.42
46,CRO,156.40,0.33,0.49,0.27,0.48
47,ARG,156.10,0.33,0.51,0.28,0.43
48,BRA,155.80,0.34,0.51,0.28,0.43
49,CHI,155.60,0.31,0.53,0.29,0.42
50,ITA,155.40,0.32,0.53,0.27,0.43
51,RSA,155.30,0.31,0.54,0.28,0.42
52,RSA,155.20,0.32,0.51,0.27,0.45
53,ESP,155.10,0.32,0.52,0.29,0.42
54,SWE,154.90,0.32,0.52,0.28,0.43
55,USA,154.80,0.31,0.53,0.28,0.42
56,CZE,154.70,0.32,0.53,0.29,0.41
57,UKR,154.60,0.32,0.52,0.28,0.42
58,CZE,154.60,0.31,0.53,0.28,0.43
59,PER,154.60,0.32,0.52,0.28,0.43
60,USA,154.50,0.31,0.54,0.28,0.42
61,NaN,154.50,0.31,0.54,0.27,0.43
62,ESP,154.50,0.33,0.52,0.28,0.42
63,ARG,153.40,0.33,0.51,0.28,0.42
64,SVK,153.20,0.35,0.49,0.28,0.42
65,URU,153.10,0.32,0.55,0.28,0.38
66,NaN,153.00,0.30,0.53,0.28,0.43
67,USA,152.90,0.33,0.50,0.27,0.43
68,ARG,152.80,0.31,0.52,0.27,0.43
69,NOR,152.80,0.31,0.53,0.28,0.41
70,FRA,152.70,0.31,0.53,0.27,0.42
71,FRA,152.50,0.32,0.49,0.26,0.46
72,CRC,152.40,0.31,0.51,0.26,0.43
73,USA,152.30,0.31,0.52,0.27,0.43
74,CZE,152.30,0.30,0.52,0.25,0.45
75,FRA,152.20,0.32,0.51,0.27,0.43
76,SWE,152.20,0.32,0.51,0.27,0.42
77,ARG,152.00,0.34,0.51,0.27,0.40
78,GER,152.00,0.30,0.52,0.27,0.43
79,ARG,152.00,0.32,0.52,0.27,0.41
80,GER,151.90,0.31,0.52,0.27,0.41
81,USA,151.90,0.29,0.55,0.27,0.42
82,ITA,151.80,0.32,0.51,0.27,0.43
83,GER,,0.32,0.50,0.27,0.44
84,USA,151.70,0.32,0.50,0.27,0.43
85,USA,151.60,0.31,0.52,0.27,0.42
86,ESP,151.60,0.30,0.52,0.25,0.45
87,ITA,151.60,0.32,0.51,0.27,0.42
88,ARG,151.60,0.31,0.52,0.26,0.43
89,UKR,151.60,0.34,0.51,0.28,0.39
90,JPN,151.60,0.31,0.53,0.27,0.41
91,CZE,151.60,0.30,0.52,0.27,0.43
92,BRA,151.50,0.31,0.51,0.27,0.43
93,USA,151.50,0.32,0.51,0.27,0.42
94,AUT,151.50,0.32,0.51,0.27,0.41
95,ESP,151.40,0.30,0.53,0.26,0.42
96,GER,151.40,0.31,0.51,0.27,0.43
97,ARG,151.30,0.32,0.51,0.26,0.42
98,FRA,151.30,0.32,0.51,0.26,0.42
99,NaN,151.20,0.29,0.54,0.26,0.42
100,IND,151.20,0.31,0.53,0.28,0.39
,USA,151.10,0.30,0.53,0.26,0.43
