Category,Tournament,Surface,Prize Money,Draw
ATP 250,AUS,Hard,372500.00,SGL 32 DBL 16
ATP 250,IND,Hard,398250.00,SGL 32 DBL 16
ATP 250,QAT,Hard,1024000.00,SGL 32 DBL 16
ATP 250,AUS,Hard,372500.00,SGL 28 DBL 16
ATP 250,MCO,Hard,355500.00,SGL 28 DBL 16
Grand Slam,AUS,Hard,10712240.00,SGL 128 DBL 64
ATP 250,ZAF,Hard,442500.00,SGL 32 DBL 16
ATP250,CRO,Indoor Hard,430607.81,SGL 32 DBL 16
ATP 250,CHL,Clay,398250.00,SGL 32 DBL 16
ATP 250,USA,Indoor Hard,531000.00,SGL 32 DBL 16
ATP 500,NED,Indoor Hard,1243437.00,SGL 32 DBL 16
ATP 250,BRA,Clay,442500.00,SGL 32 DBL 16
ATP 250,FRA,Indoor Hard,554410.00,SGL 28 DBL 16
ATP 500,USA,Indoor Hard,1100000.00,SGL 32 DBL 16
ATP250,ARG,Clay,475300.00,SGL 32 DBL 16
ATP 500,UAE,Hard,1619500.00,SGL 32 DBL 16
ATP 500,MEX,Clay,955000.00,SGL 32 DBL 16
ATP 250,USA,Hard,442500.00,SGL 32 DBL 16
ATP 1000,USA,Hard,3645000.00,SGL 96 DBL 32
ATP 1000,USA,Hard,3645000.00,SGL 96 DBL 32
ATP 250,MAR,Clay,430607.00,SGL 28 DBL 16
ATP 250,USA,Clay,442500.00,SGL 28 DBL 16
ATP 1000,MAR,Clay,2408484.00,SGL 56 DBL 24
ATP 500,ESP,Clay,1675937.00,SGL 56 DBL 24
ATP 1000,ITA,Clay,2408484.00,SGL 56 DBL 24
ATP 250,GER,Clay,430607.00,SGL 32 DBL 16
ATP 250,SER,Clay,403522.00,SGL 28 DBL 16
ATP 250,PRT,Clay,430607.00,SGL 28 DBL 16
ATP 1000,ESP,Clay,3065343.00,SGL 56 DBL 24
ATP 250,GER,Clay,1460768.00,
ATP 250,FRA,Clay,430607.00,SGL 28 DBL 16
GRAND SLAM,FRA,Clay,7917258.00,SGL 128 DBL 64
ATP 250,GER,Grass,717679.00,SGL 32 DBL 16
ATP 250,GBR,Grass,678700.00,SGL 56 DBL 24
ATP 250,NED,Grass,430607.00,SGL 32 DBL 16
ATP 250,GBR,Grass,437906.00,SGL 32 DBL 16
GRAND SLAM,GBR,Grass,6985618.00,SGL 128 DBL 64
ATP 250,USA,Grass,442500.00,SGL 32 DBL 16
ATP 250,GER,Clay,430607.00,SGL 28 DBL 16
ATP 250,SWE,Clay,430607.00,SGL 28 DBL 16
ATP 500,GER,Clay,1081250.00,SGL 48 DBL 16
ATP 250,USA,Hard,531000.00,SGL 28 DBL 16
ATP 250,CHE,Clay,430607.00,SGL 32 DBL 16
ATP 250,USA,Hard,619500.00,SGL 28 DBL 16
ATP 250,CRO,Clay,430607.00,SGL 28 DBL 16
ATP 500,USA,Hard,1165500.00,SGL 48 DBL 16
ATP 1000,CAN,Hard,2430000.00,SGL 56 DBL 24
ATP 1000,USA,Hard,2430000.00,SGL 56 DBL 24
ATP 250,USA,Hard,663750.00,SGL 48 DBL 16
GRAND SLAM,USA,Hard,10006000.00,SGL 128 DBL 64
ATP 250,FRA,Indoor Hard,430607.00,SGL 28 DBL 16
ATP 250,ROU,Clay,398386.00,SGL 28 DBL 16
ATP 250,THA,Hard,551000.00,SGL 28 DBL 16
ATP 250,MAL,Indoor Hard,850000.00,SGL 28 DBL 16
ATP 500,CHN,Hard,2100000.00,SGL 32 DBL 16
ATP 500,JPN,Hard,1100000.00,SGL 32 DBL 16
ATP 1000,CHN,Hard,3240000.00,SGL 56 DBL 24
ATP 250,SWE,Indoor Hard,574143.00,SGL 28 DBL 16
ATP 250,RUS,Indoor Hard,1000000.00,SGL 28 DBL 16
ATP 250,RUS,Indoor Hard,663750.00,SGL 28 DBL 16
ATP 250,AUT,Indoor Hard,621989.00,SGL 32 DBL 16
ATP 250,FRA,Indoor Hard,621989.00,SGL 28 DBL 16
ATP 500,ESP,Hard,1467256.00,SGL 32 DBL 16
ATP 500,CHE,Indoor Hard,1324531.00,SGL 32 DBL 16
ATP 1000,FRA,Hard,2408484.00,SGL 48 DBL 24
ATP FINALS,ENG,Indoor Hard,2770441.99,RR DBL 8
