Nationality,name,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match
USA,John Isner,312.1,0.69,0.79,0.56,0.92,18.7,2.3
CRO,Ivo Karlovic,309.8,0.66,0.83,0.53,0.92,19.8,3.5
USA,Reilly Opelka,303.4,0.64,0.79,0.55,0.90,18.1,2.9
CAN,Milos Raonic,302.8,0.63,0.81,0.55,0.91,15.5,3.3
USA,Andy Roddick,299.9,0.65,0.79,0.56,0.90,11.7,2
AUS,Nick Kyrgios,296.9,0.66,0.77,0.53,0.89,15.1,3.5
SWE,Joachim Johansson,293.4,0.62,0.79,0.53,0.89,14.3,4.3
RSA,Kevin Anderson,291,0.65,0.77,0.53,0.87,12.9,3
SUI,Roger Federer,290.9,0.62,0.77,0.57,0.89,7.8,1.9
AUS,Wayne Arthurs,290.4,0.56,0.81,0.55,0.88,15.8,5.2
ITA,Matteo Berrettini,289.6,0.63,0.78,0.53,0.88,10,2
USA,Pete Sampras,289,0.60,0.81,0.53,0.89,11,3.7
AUS,Chris Guccione,287.7,0.60,0.79,0.52,0.86,14.6,3.3
USA,Maxime Cressy,286.9,0.61,0.79,0.53,0.88,15.3,9.2
NED,Richard Krajicek,286.9,0.58,0.81,0.51,0.87,12.6,3.6
FRA,Jo-Wilfried Tsonga,286.8,0.62,0.78,0.53,0.87,9.9,2.4
RSA,Wesley Moodie,285.2,0.69,0.74,0.51,0.84,10.8,3.1
POL,Hubert Hurkacz,284.5,0.63,0.76,0.52,0.85,10.5,2.3
GRE,Stefanos Tsitsipas,284.5,0.62,0.76,0.55,0.86,7.1,2.2
AUS,Sam Groth,284.4,0.61,0.78,0.51,0.85,15.4,5
ESP,Rafael Nadal,284.4,0.68,0.72,0.57,0.86,3.2,1.7
LUX,Gilles Muller,284.2,0.61,0.78,0.50,0.85,13.4,3.6
SRB,Novak Djokovic,283.6,0.65,0.74,0.55,0.86,5.6,2.3
GBR,Greg Rusedski,283.2,0.58,0.80,0.52,0.87,11.2,4.6
USA,Ben Shelton,282.8,0.61,0.77,0.54,0.85,10.5,4.3
CRO,Ivan Ljubicic,282.5,0.58,0.78,0.52,0.85,12,2.5
USA,Sam Querrey,282.4,0.59,0.79,0.50,0.85,12.8,3.4
CRO,Goran Ivanisevic,282.2,0.55,0.83,0.50,0.86,13.9,4.9
AUS,Mark Philippoussis,281.7,0.58,0.80,0.50,0.85,13.9,5.2
